TamañoGrafo;Densidad;MediaBRKGA;DesviaciónEstandarBRKGA;TiempoMedioBRKGA
1000;0.1;56.13;2.19;35.05
1000;0.2;31.87;0.88;30.97
1000;0.3;22.53;0.67;22.44
1000;0.4;17.07;0.44;21.05
1000;0.5;13.53;0.50;18.70
1000;0.6;11.00;0.26;10.27
1000;0.7;9.07;0.25;8.64
1000;0.8;7.07;0.25;3.85
